['17:56:04.395]', 3927]

['17:58:05.625]', 3928]

['18:00:06.861]', 3933]

['18:02:08.064]', 3934]

['18:05:09.954]', 3933]

['18:11:13.143]', 3933]

['18:13:13.805]', 3935]

['18:15:14.319]', 3931]

['18:16:14.987]', 3933]

['18:32:23.389]', 3932]

['18:55:35.748]', 3931]

['18:57:36.708]', 3933]

['18:59:37.854]', 3932]

['19:01:39.052]', 3932]

['19:03:39.689]', 3933]

['19:05:40.661]', 3931]

['19:43:59.726]', 3930]

['19:46:00.442]', 3929]

['19:48:01.080]', 3929]

['19:50:02.225]', 3928]

['19:58:05.352]', 3930]

['20:13:12.234]', 3930]

['20:15:13.262]', 3929]

['20:17:14.093]', 3929]

['20:19:15.042]', 3931]

['20:21:16.552]', 3929]

['20:23:17.644]', 3931]

['20:25:18.632]', 3931]

['20:27:19.254]', 3931]

['20:29:20.510]', 3929]

['20:31:21.161]', 3930]

['20:58:33.423]', 3929]

['21:15:40.871]', 3930]

['21:17:42.021]', 3929]

['21:19:43.232]', 3930]

['21:21:44.497]', 3930]

['21:23:45.481]', 3929]

['21:33:51.246]', 3930]

['21:36:52.653]', 3928]

['21:38:53.638]', 3928]

['21:40:54.775]', 3928]

['21:42:55.627]', 3929]

['21:44:56.704]', 3928]

['21:48:58.493]', 3930]

['21:50:59.606]', 3929]

['21:53:00.487]', 3928]

['21:55:01.526]', 3926]

['21:57:02.358]', 3928]

['22:02:04.404]', 3908]

['22:04:05.659]', 3893]

['22:08:07.806]', 3897]

['22:28:17.401]', 3914]

['22:30:18.435]', 3917]

['22:33:19.683]', 3917]

['22:40:22.931]', 3919]

['22:42:23.949]', 3918]

['22:44:24.767]', 3921]

['22:46:25.829]', 3922]

['22:48:26.788]', 3921]

['23:06:35.541]', 3921]

['23:08:36.563]', 3920]

['23:10:37.695]', 3921]

['23:12:38.572]', 3922]

['23:14:39.537]', 3920]

['23:16:40.586]', 3921]

['23:19:42.180]', 3920]

['23:21:43.007]', 3919]

['23:23:44.046]', 3921]

['23:25:44.994]', 3915]

['23:27:45.864]', 3916]

['23:29:46.945]', 3921]

['23:31:48.108]', 3922]

['23:33:49.195]', 3919]

['23:37:51.237]', 3920]

['23:39:52.294]', 3919]

['23:41:53.367]', 3920]

['23:43:54.379]', 3920]

['23:45:55.438]', 3918]

['23:47:56.311]', 3919]

['23:49:57.415]', 3919]

['23:51:58.561]', 3921]

['23:58:01.594]', 3919]

['00:00:02.504]', 3919]

['00:15:10.463]', 3919]

['00:17:11.519]', 3920]

['00:19:12.382]', 3919]

['00:23:14.223]', 3919]

['00:25:15.171]', 3919]

['00:33:19.309]', 3918]

['01:24:44.526]', 3917]

['01:26:45.392]', 3917]

['01:28:46.600]', 3915]

['01:30:47.765]', 3915]

['01:32:48.778]', 3917]

['01:34:49.919]', 3917]

['01:36:51.154]', 3917]

['01:38:52.060]', 3915]

['01:46:56.099]', 3915]

['01:48:56.968]', 3913]

['01:50:57.883]', 3916]

['01:52:59.035]', 3913]

['01:55:00.168]', 3916]

['02:04:04.832]', 3907]

['02:06:05.727]', 3910]

['02:08:06.726]', 3914]

['02:10:07.804]', 3913]

['02:12:08.703]', 3914]

['02:15:10.432]', 3912]

['02:17:11.462]', 3914]

['02:19:12.469]', 3915]

['02:21:13.452]', 3914]

['02:23:14.521]', 3916]

['02:25:15.362]', 3912]

['02:29:17.260]', 3911]

['02:31:18.263]', 3914]

['02:33:19.391]', 3914]

['02:35:20.553]', 3913]

['02:37:21.555]', 3912]

['02:39:22.556]', 3913]

['02:41:23.605]', 3913]

['02:43:24.481]', 3911]

['02:45:25.621]', 3913]

['02:47:26.453]', 3913]

['02:49:27.285]', 3913]

['02:51:28.244]', 3911]

['02:53:29.385]', 3912]

['02:55:30.435]', 3910]

['02:57:31.276]', 3911]

['02:59:32.317]', 3911]

['03:01:33.324]', 3910]

['03:03:34.468]', 3911]

['03:14:39.793]', 3887]

['03:18:41.716]', 3888]

['03:20:42.717]', 3898]

['03:22:43.701]', 3899]

['03:33:49.046]', 3901]

['03:36:50.386]', 3898]

['03:38:51.393]', 3900]

['03:48:56.028]', 3902]

['03:50:57.014]', 3900]

['03:52:57.922]', 3902]

['03:54:58.906]', 3901]

['03:58:00.289]', 3887]

['04:00:01.603]', 3880]

['04:02:02.595]', 3891]

['04:10:06.270]', 3892]

['04:20:11.114]', 3895]

['04:40:20.781]', 3891]

['04:43:22.023]', 3895]

['04:45:23.083]', 3897]

['04:47:24.302]', 3898]

['04:49:25.442]', 3891]

['04:51:26.490]', 3898]

['04:53:27.464]', 3896]

